#threads, exec_time, speedup
1S, .025778200, 1
#threads, exec_time, speedup
1S, .018754100, 1
#threads, exec_time, speedup
1S, .018498100, 1
#threads, exec_time, speedup
1S, .018590900, 1
#threads, exec_time, speedup
1S, .018725900, 1
#threads, exec_time, speedup
1S, .018901400, 1
#threads, exec_time, speedup
1S, .017292800, 1
#threads, exec_time, speedup
1S, .017410800, 1
#threads, exec_time, speedup
1S, .017127700, 1
#threads, exec_time, speedup
1S, .016434800, 1
#threads, exec_time, speedup
1S, .017278200, 1
